Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
COMPASS HEIGHTS,"955,000","1,065.64",896,Jun-21,SENGKANG SQUARE,Resale,Strata,99,"9,646",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10
SUITES @ PAYA LEBAR,"595,000",409.03,"1,455",Jun-21,UPPER PAYA LEBAR ROAD,Resale,Strata,38,"15,658",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,584,800",936.47,"1,692",Jun-21,COMPASSVALE BOW,New Sale,Strata,87,"18,216",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
TERRASSE,"1,605,000","1,453.14","1,105",Jun-21,TERRASSE LANE,Resale,Strata,135,"11,889",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
LA FIESTA,"1,265,000",990.29,"1,277",Jun-21,SENGKANG SQUARE,Resale,Strata,92,"13,750",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
CASA CAMBIO,"1,610,000","1,399.32","1,151",Jun-21,LIM TUA TOW ROAD,Resale,Strata,130,"12,385",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
RIVERSOUND RESIDENCE,"1,260,000","1,162.51","1,084",Jun-21,SENGKANG EAST AVENUE,Resale,Strata,108,"11,667",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
FLO RESIDENCE,"925,000",925.7,999,Jun-21,PUNGGOL FIELD WALK,Resale,Strata,86,"10,756",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"1,138,400",678.13,"1,679",Jun-21,COMPASSVALE BOW,New Sale,Strata,63,"18,070",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,203,000",667.37,"1,803",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,62,"19,403",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
SENGKANG GRAND RESIDENCES,"1,280,800",764.24,"1,676",Jun-21,COMPASSVALE BOW,New Sale,Strata,71,"18,039",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,065,000",624.31,"1,706",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,58,"18,362",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
THE FLORENCE RESIDENCES,"1,027,000",635.08,"1,617",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,59,"17,407",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
LA FIESTA,"1,918,000","1,765.3","1,087",Jun-21,SENGKANG SQUARE,Resale,Strata,164,"11,695",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
WATERTOWN,"820,000",581.26,"1,411",Jun-21,PUNGGOL CENTRAL,Resale,Strata,54,"15,185",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,046,000",624.31,"1,675",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,58,"18,034",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,288,000",699.66,"1,841",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,65,"19,815",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
SPAZIO @ KOVAN,"685,000",484.38,"1,414",Jun-21,UPPER SERANGOON ROAD,Resale,Strata,45,"15,222",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SUNGLADE,"1,510,000","1,377.79","1,096",Jun-21,SERANGOON AVENUE 2,Resale,Strata,128,"11,797",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
FLO RESIDENCE,"880,000",968.76,908,Jun-21,PUNGGOL FIELD WALK,Resale,Strata,90,"9,778",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
PARC CENTROS,"920,000",764.24,"1,204",Jun-21,PUNGGOL CENTRAL,Resale,Strata,71,"12,958",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
RIO VISTA,"962,000","1,237.86",777,Jun-21,UPPER SERANGOON VIEW,Resale,Strata,115,"8,365",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,01 to 05
WATERTOWN,"790,000",602.78,"1,311",Jun-21,PUNGGOL CENTRAL,Resale,Strata,56,"14,107",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
A TREASURE TROVE,"1,250,000","1,044.11","1,197",Jun-21,PUNGGOL WALK,Resale,Strata,97,"12,887",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
FLO RESIDENCE,"915,000",925.7,988,Jun-21,PUNGGOL FIELD WALK,Resale,Strata,86,"10,640",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,386,000",904.18,"1,533",Jun-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,84,"16,500",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,756,000","1,033.34","1,699",Jun-21,COMPASSVALE BOW,New Sale,Strata,96,"18,292",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE MINTON,"1,160,000",979.52,"1,184",Jun-21,HOUGANG STREET 11,Resale,Strata,91,"12,747",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
CAMBIO SUITES,"1,680,000","1,506.96","1,115",Jun-21,LIM TUA TOW ROAD,Resale,Strata,140,"12,000",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE TEMBUSU,"1,285,000",753.48,"1,705",Jun-21,TAMPINES ROAD,Resale,Strata,70,"18,357",-,Condominium,1,Freehold,19,Outside Central Region,11 to 15
EVERGREEN PARK,"840,000","1,065.64",788,Jun-21,HOUGANG AVENUE 7,Resale,Strata,99,"8,485",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,11 to 15
RIVERSAILS,"900,000",850.36,"1,058",Jun-21,UPPER SERANGOON CRESCENT,Resale,Strata,79,"11,392",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,270,036",914.94,"1,388",Jun-21,HOUGANG AVENUE 7,New Sale,Strata,85,"14,942",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,081,000",635.08,"1,702",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,59,"18,322",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,187,000",667.37,"1,779",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,62,"19,145",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,621,000","1,087.16","1,491",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,101,"16,050",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
A TREASURE TROVE,"1,390,000","1,205.57","1,153",Jun-21,PUNGGOL WALK,Resale,Strata,112,"12,411",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
KOVAN RESIDENCES,"2,280,000","1,797.59","1,268",Jun-21,KOVAN ROAD,Resale,Strata,167,"13,653",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
STARS OF KOVAN,"1,580,000",958,"1,649",Jun-21,UPPER SERANGOON ROAD,Sub Sale,Strata,89,"17,753",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
BOATHOUSE RESIDENCES,"881,800",839.59,"1,050",Jun-21,UPPER SERANGOON VIEW,Resale,Strata,78,"11,305",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
KOVAN MELODY,"1,620,000","1,291.68","1,254",Jun-21,KOVAN ROAD,Resale,Strata,120,"13,500",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,16 to 20
THE LUXURIE,"1,756,000","2,066.69",850,Jun-21,COMPASSVALE ROAD,Resale,Strata,192,"9,146",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
SUNGLADE,"1,265,000","1,044.11","1,212",Jun-21,SERANGOON AVENUE 2,Resale,Strata,97,"13,041",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,661,640","1,097.93","1,513",Jun-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,102,"16,291",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
TANGERINE GROVE,"1,218,000",925.7,"1,316",Jun-21,PAYA LEBAR CRESCENT,Resale,Strata,86,"14,163",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,400,000","1,108.69","1,263",Jun-21,UPPER SERANGOON VIEW,Resale,Strata,103,"13,592",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
REGENTVILLE,"860,000","1,076.4",799,Jun-21,HOUGANG STREET 92,Resale,Strata,100,"8,600",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,360,000","1,054.87","1,289",Jun-21,UPPER SERANGOON VIEW,Resale,Strata,98,"13,878",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
COMPASS HEIGHTS,"1,188,000","1,334.74",890,Jun-21,SENGKANG SQUARE,Resale,Strata,124,"9,581",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
THE PROMENADE@PELIKAT,"1,354,000","1,377.79",983,Jun-21,JALAN PELIKAT,Resale,Strata,128,"10,578",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
BOATHOUSE RESIDENCES,"668,000",624.31,"1,070",Jun-21,UPPER SERANGOON VIEW,Resale,Strata,58,"11,517",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,268,000",764.24,"1,659",Jun-21,COMPASSVALE BOW,New Sale,Strata,71,"17,859",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
HOUGANG GREEN,"750,000","1,140.98",657,Jun-21,BUANGKOK GREEN,Resale,Strata,106,"7,075",-,Apartment,1,99 yrs lease commencing from 1994,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,426,000",850.36,"1,677",Jun-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,79,"18,051",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"857,000",527.44,"1,625",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,49,"17,490",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,000,000",635.08,"1,575",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,59,"16,949",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"1,498,860",904.18,"1,658",Jun-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,84,"17,844",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE MINTON,"1,415,000","1,216.33","1,163",Jun-21,HOUGANG STREET 11,Resale,Strata,113,"12,522",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
COMPASS HEIGHTS,"1,300,000","1,323.97",982,Jun-21,SENGKANG SQUARE,Resale,Strata,123,"10,569",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10
MIDTOWN RESIDENCES,"880,000",645.84,"1,363",Jun-21,UPPER SERANGOON ROAD,Resale,Strata,60,"14,667",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
PARC CENTROS,"1,150,000",990.29,"1,161",Jun-21,PUNGGOL CENTRAL,Resale,Strata,92,"12,500",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
JEWEL @ BUANGKOK,"1,015,000",785.77,"1,292",Jun-21,COMPASSVALE BOW,Resale,Strata,73,"13,904",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
CHERRYHILL,"1,933,200","1,743.77","1,109",Jun-21,LORONG LEW LIAN,Resale,Strata,162,"11,933",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
A TREASURE TROVE,"1,400,000","1,205.57","1,161",Jun-21,PUNGGOL WALK,Resale,Strata,112,"12,500",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"1,630,000","1,259.39","1,294",Jun-21,UPPER SERANGOON VIEW,Resale,Strata,117,"13,932",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
RIVERSAILS,"868,000",882.65,983,Jun-21,UPPER SERANGOON CRESCENT,Resale,Strata,82,"10,585",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
WATERTOWN,"1,560,000","1,108.69","1,407",Jun-21,PUNGGOL CENTRAL,Resale,Strata,103,"15,146",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
TRILIVE,"850,000",624.31,"1,361",Jun-21,TAMPINES ROAD,Resale,Strata,58,"14,655",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE WATERLINE,"1,250,000","1,173.28","1,065",Jun-21,POH HUAT ROAD WEST,Resale,Strata,109,"11,468",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
FOREST WOODS,"1,031,000",635.08,"1,623",Jun-21,LORONG LEW LIAN,Sub Sale,Strata,59,"17,475",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
WATERTOWN,"1,620,000","1,119.46","1,447",Jun-21,PUNGGOL CENTRAL,Resale,Strata,104,"15,577",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
A TREASURE TROVE,"1,050,000",914.94,"1,148",Jun-21,PUNGGOL WALK,Resale,Strata,85,"12,353",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"1,357,600",764.24,"1,776",Jun-21,COMPASSVALE BOW,New Sale,Strata,71,"19,121",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"1,351,200",764.24,"1,768",Jun-21,COMPASSVALE BOW,New Sale,Strata,71,"19,031",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
JANSEN 28,"1,450,000","1,689.95",858,Jun-21,JANSEN ROAD,Resale,Strata,157,"9,236",-,Apartment,1,999 yrs lease commencing from 1876,19,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"730,000",462.85,"1,577",Jun-21,LORONG HOW SUN,Resale,Strata,43,"16,977",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
RIVERSAILS,"1,160,000","1,108.69","1,046",Jun-21,UPPER SERANGOON CRESCENT,Resale,Strata,103,"11,262",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
RIVERSOUND RESIDENCE,"845,000",753.48,"1,121",Jun-21,SENGKANG EAST AVENUE,Resale,Strata,70,"12,071",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
WATERTOWN,"820,000",592.02,"1,385",Jun-21,PUNGGOL CENTRAL,Resale,Strata,55,"14,909",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"1,380,000","1,097.93","1,257",Jun-21,LORONG HOW SUN,Resale,Strata,102,"13,529",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
CASA ROSA,"1,100,000","1,130.22",973,Jun-21,LORONG ONG LYE,Resale,Strata,105,"10,476",-,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,01 to 05
THE QUINN,"1,968,000","1,776.06","1,108",Jun-21,BARTLEY ROAD,Resale,Strata,165,"11,927",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
RIVERSAILS,"900,000",882.65,"1,020",Jun-21,UPPER SERANGOON CRESCENT,Resale,Strata,82,"10,976",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,153,112",667.37,"1,728",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,62,"18,599",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
FOREST WOODS,"1,595,000",904.18,"1,764",Jun-21,LORONG LEW LIAN,Sub Sale,Strata,84,"18,988",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
RESIDENCES BOTANIQUE,"1,188,000","1,054.87","1,126",Jun-21,YIO CHU KANG ROAD,Resale,Strata,98,"12,122",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
A TREASURE TROVE,"1,428,000","1,205.57","1,185",Jun-21,PUNGGOL WALK,Resale,Strata,112,"12,750",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
CARDIFF RESIDENCE,"600,000",430.56,"1,394",Jun-21,CARDIFF GROVE,Resale,Strata,40,"15,000",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
FONTAINE PARRY,"1,065,000",914.94,"1,164",Jun-21,POH HUAT ROAD,Resale,Strata,85,"12,529",-,Condominium,1,999 yrs lease commencing from 1877,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,079,000",635.08,"1,699",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,59,"18,288",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
VIBES@UPPER SERANGOON,"1,020,000",882.65,"1,156",Jun-21,UPPER SERANGOON ROAD,Resale,Strata,82,"12,439",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
STARS OF KOVAN,"1,235,000",742.72,"1,663",Jun-21,UPPER SERANGOON ROAD,Sub Sale,Strata,69,"17,899",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,11 to 15
SUNGLADE,"1,305,000","1,119.46","1,166",Jun-21,SERANGOON AVENUE 2,Resale,Strata,104,"12,548",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
A TREASURE TROVE,"1,200,000","1,044.11","1,149",Jun-21,PUNGGOL WALK,Resale,Strata,97,"12,371",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE LUXURIE,"1,238,888","1,011.82","1,224",May-21,COMPASSVALE ROAD,Resale,Strata,94,"13,180",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,416,000",850.36,"1,665",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,79,"17,924",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
KOVAN RESIDENCES,"1,610,000","1,259.39","1,278",May-21,KOVAN ROAD,Resale,Strata,117,"13,761",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
TERRASSE,"910,000",775.01,"1,174",May-21,TERRASSE LANE,Resale,Strata,72,"12,639",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
RIVER ISLES,"1,170,000","1,248.62",937,May-21,EDGEDALE PLAINS,Resale,Strata,116,"10,086",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
A TREASURE TROVE,"1,230,000","1,044.11","1,178",May-21,PUNGGOL WALK,Resale,Strata,97,"12,680",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
STADIA,"1,728,880","1,431.61","1,208",May-21,YIO CHU KANG ROAD,Resale,Strata,133,"12,999",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
FLO RESIDENCE,"965,000","1,011.82",954,May-21,PUNGGOL FIELD WALK,Resale,Strata,94,"10,266",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
FIORENZA,"1,650,000","1,345.5","1,226",May-21,FLORENCE ROAD,Resale,Strata,125,"13,200",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,286,400",764.24,"1,683",May-21,COMPASSVALE BOW,New Sale,Strata,71,"18,118",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"2,200,000","1,323.97","1,662",May-21,COMPASSVALE BOW,New Sale,Strata,123,"17,886",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,119,200",678.13,"1,650",May-21,COMPASSVALE BOW,New Sale,Strata,63,"17,765",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"2,152,000","1,313.21","1,639",May-21,COMPASSVALE BOW,New Sale,Strata,122,"17,639",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,617,600",936.47,"1,727",May-21,COMPASSVALE BOW,New Sale,Strata,87,"18,593",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,305,600",764.24,"1,708",May-21,COMPASSVALE BOW,New Sale,Strata,71,"18,389",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,464,000",936.47,"1,563",May-21,HOUGANG AVENUE 2,New Sale,Strata,87,"16,828",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"845,000",473.62,"1,784",May-21,HOUGANG AVENUE 2,New Sale,Strata,44,"19,205",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,858,032","1,410.08","1,318",May-21,HOUGANG AVENUE 7,New Sale,Strata,131,"14,183",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
RIVERFRONT RESIDENCES,"1,379,040",914.94,"1,507",May-21,HOUGANG AVENUE 7,New Sale,Strata,85,"16,224",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"1,280,800",764.24,"1,676",May-21,COMPASSVALE BOW,New Sale,Strata,71,"18,039",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,293,600",764.24,"1,693",May-21,COMPASSVALE BOW,New Sale,Strata,71,"18,220",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"2,209,600","1,323.97","1,669",May-21,COMPASSVALE BOW,New Sale,Strata,123,"17,964",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,148,800",678.13,"1,694",May-21,COMPASSVALE BOW,New Sale,Strata,63,"18,235",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,777,600","1,011.82","1,757",May-21,COMPASSVALE BOW,New Sale,Strata,94,"18,911",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,280,000",764.24,"1,675",May-21,COMPASSVALE BOW,New Sale,Strata,71,"18,028",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,561,600",936.47,"1,668",May-21,COMPASSVALE BOW,New Sale,Strata,87,"17,949",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"2,255,000","1,410.08","1,599",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,131,"17,214",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,815,000","1,151.75","1,576",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,107,"16,963",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"2,263,000","1,453.14","1,557",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,135,"16,763",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
BOTANIQUE AT BARTLEY,"1,595,000","1,033.34","1,544",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,96,"16,615",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
ISUITES @ PALM,"790,000",635.08,"1,244",May-21,GLASGOW ROAD,Resale,Strata,59,"13,390",-,Apartment,1,999 yrs lease commencing from 1878,19,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"1,120,000",624.31,"1,794",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,58,"19,310",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,831,920","1,410.08","1,299",May-21,HOUGANG AVENUE 7,New Sale,Strata,131,"13,984",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE GARDEN RESIDENCES,"2,350,000","1,560.78","1,506",May-21,SERANGOON NORTH VIEW,New Sale,Strata,145,"16,207",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,256,000",914.94,"1,373",May-21,HOUGANG AVENUE 7,New Sale,Strata,85,"14,776",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE QUARTZ,"1,150,000","1,367.03",841,May-21,COMPASSVALE BOW,Resale,Strata,127,"9,055",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"1,685,000","1,162.51","1,449",May-21,LORONG HOW SUN,Resale,Strata,108,"15,602",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
REGENTVILLE,"900,000","1,151.75",781,May-21,HOUGANG STREET 92,Resale,Strata,107,"8,411",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"2,220,000","1,323.97","1,677",May-21,COMPASSVALE BOW,New Sale,Strata,123,"18,049",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,140,000",667.37,"1,708",May-21,HOUGANG AVENUE 2,New Sale,Strata,62,"18,387",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
JEWEL @ BUANGKOK,"1,018,000",721.19,"1,412",May-21,COMPASSVALE BOW,Resale,Strata,67,"15,194",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
PARC CENTROS,"625,000",462.85,"1,350",May-21,PUNGGOL CENTRAL,Resale,Strata,43,"14,535",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
