name,type,education_tag,address,postal_code,phone,email,website,zone,school_active,is_enrolling,latitude,longitude
MOE Kindergarten @ Elias Park,preschool,MOE Kindergarten,11 Pasir Ris Street 52,518866,6584 4393,mk_eliaspark@moe.edu.sg,https://www.eliasparkpri.moe.edu.sg/mkeliaspark/announcement/,Pasir Ris,True,True,,
MOE Kindergarten @ Farrer Park,preschool,MOE Kindergarten,2 Farrer Park Road,217567,6341 5389,mk_farrerpark@moe.edu.sg,https://www.farrerparkpri.moe.edu.sg/moe-kindergarten/overview/,Farrer Park,True,True,,
MOE Kindergarten @ Fengshan,preschool,MOE Kindergarten,307 Bedok North Road,469680,6343 2088,mk_fengshan@moe.edu.sg,https://fengshanpri.moe.edu.sg/mk-fengshan-primary-school/,Bedok,True,True,,
MOE Kindergarten @ Fern Green,preschool,MOE Kindergarten,70 Fernvale Link,797538,6634 1318,mk_ferngreen@moe.edu.sg,https://sites.google.com/moe.edu.sg/mkferngreen/about-us/our-curriculum,Sengkang,True,True,,
MOE Kindergarten @ Fernvale,preschool,MOE Kindergarten,1 Fernvale Lane,797701,6312 4121,mk_fernvale@moe.edu.sg,https://www.fernvalepri.moe.edu.sg/moe-kindergarten-at-fernvale/about-us/,Sengkang,True,True,,
MOE Kindergarten @ First Toa Payoh,preschool,MOE Kindergarten,7 Lorong 8 Toa Payoh,319252,6262 0331,mk_firsttoapayoh@moe.edu.sg,https://firsttoapayohpri.moe.edu.sg/mk-at-first-toa-payoh/mk-at-first-toa-payoh-virtual-tour,Toa Payoh,True,True,,
MOE Kindergarten @ Frontier,preschool,MOE Kindergarten,20 Jurong West Street 61,648200,6578 9555,mk_frontier@moe.edu.sg,https://frontierpri.moe.edu.sg/virtual-tour-of-moe-kindergarten-frontier,Jurong West,True,True,,
MOE Kindergarten @ Gongshang,preschool,MOE Kindergarten,1 Tampines Street 42,529176,6783 1191,mk_gongshang@moe.edu.sg,https://www.gongshangpri.moe.edu.sg/kindergarten/about-mk/,Tampines,True,True,,
MOE Kindergarten @ Greendale,preschool,MOE Kindergarten,50 Edgedale Plains,828848,6244 5001,mk_greendale@moe.edu.sg,https://www.greendalepri.moe.edu.sg/moe-kindergarten-at-greendale/moe-kindergarten-at-greendale/,Punggol,True,True,,
MOE Kindergarten @ Horizon,preschool,MOE Kindergarten,61 Edgedale Plains,828819,6235 6960,mk_horizon@moe.edu.sg,https://www.horizonpri.moe.edu.sg/moe-kindergarten/moe-kindergarten-at-horizon/,Punggol,True,True,,
MOE Kindergarten @ Hougang,preschool,MOE Kindergarten,1 Hougang Street 93,534238,6203 4087,mk_hougang@moe.edu.sg,https://www.hougangpri.moe.edu.sg/mkhougang/,Hougang,True,True,,
MOE Kindergarten @ Huamin,preschool,MOE Kindergarten,21 Yishun Avenue 11,768857,6710 7874,mk_huamin@moe.edu.sg,https://sites.google.com/huamin.edu.sg/mkhm,Yishun,True,True,,
MOE Kindergarten @ Jing Shan,preschool,MOE Kindergarten,5 Ang Mo Kio Street 52,569228,6252 1538,mk_jingshan@moe.edu.sg,https://www.jingshanpri.moe.edu.sg/mk-at-jing-shan/about-us/,Ang Mo Kio,True,True,,
MOE Kindergarten @ Junyuan,preschool,MOE Kindergarten,2 Tampines Street 91,528906,6783 0375,mk_junyuan@moe.edu.sg,https://www.junyuanpri.moe.edu.sg/welcome/,Tampines,True,True,,
MOE Kindergarten @ Jurong West,preschool,MOE Kindergarten,30 Jurong West Street 61,648368,9647 4301,mk_jurongwest@moe.edu.sg,https://www.jurongwestpri.moe.edu.sg/mk-jurong-west/mk/,Jurong West,True,True,,
MOE Kindergarten @ Kranji,preschool,MOE Kindergarten,To Be Located in Tengah. Address Will Be Released At A Later Date.,None,6763 4812,mk_kranji@moe.edu.sg,https://www.kranjipri.moe.edu.sg/moe-kindergarten/moe-kindergarten/,Tengah,True,False,,
MOE Kindergarten @ Mayflower,preschool,MOE Kindergarten,200 Ang Mo Kio Avenue 5,569878,6255 2728,mk_mayflower@moe.edu.sg,https://www.mayflowerpri.moe.edu.sg/school-information/moe-kindergarten/,Ang Mo Kio,True,True,,
MOE Kindergarten @ Meridian,preschool,MOE Kindergarten,20 Pasir Ris Street 71,518798,6583 2125,mk_meridian@moe.edu.sg,https://meridianpri.moe.edu.sg/mk-at-meridian/about-us,Pasir Ris,True,True,,
MOE Kindergarten @ Naval Base,preschool,MOE Kindergarten,7 Yishun Avenue 4,769028,6257 0443,mk_navalbase@moe.edu.sg,https://www.navalbasepri.moe.edu.sg/mk-at-nbps/welcomevideo/,Yishun,True,True,,
MOE Kindergarten @ Northoaks,preschool,MOE Kindergarten,61 Sembawang Drive,757622,6481 2018,mk_northoaks@moe.edu.sg,https://www.northoakspri.moe.edu.sg/parents/moe-kindergarten-at-northoaks,Sembawang,True,True,,
MOE Kindergarten @ Northshore,preschool,MOE Kindergarten,30 Northshore Drive,828671,6202 6490,mk_northshore@moe.edu.sg,http://northshorepri.moe.edu.sg/moe-kindergarten/kindergarten-information,Punggol,True,True,,
MOE Kindergarten @ North View,preschool,MOE Kindergarten,210 Yishun Avenue 6,768960,6759 3235,mk_northview@moe.edu.sg,https://www.northviewpri.moe.edu.sg/moe-kindergarten-northview/,Yishun,True,True,,
MOE Kindergarten @ North Vista,preschool,MOE Kindergarten,20 Compassvale Link,544974,6235 1247,mk_northvista@moe.edu.sg,https://www.northvistapri.moe.edu.sg/kindergarten/mission-vision-and-values/,Sengkang,True,True,,
MOE Kindergarten @ Oasis,preschool,MOE Kindergarten,71 Edgefield Plains,828716,6320 9855,mk_oasis@moe.edu.sg,https://www.oasispri.moe.edu.sg/mk-at-oasis/what-we-offer/,Punggol,True,True,,
MOE Kindergarten @ Pei Tong,preschool,MOE Kindergarten,15 Clementi Avenue 5,129857,6777 5458,mk_peitong@moe.edu.sg,https://peitongpri.moe.edu.sg/mkpeitong,Clementi,True,True,,
MOE Kindergarten @ Pioneer,preschool,MOE Kindergarten,80 Tengah Garden Avenue,699915,6793 2039,mk_pioneer@moe.edu.sg,,Tengah,True,True,,
MOE Kindergarten @ Princess Elizabeth,preschool,MOE Kindergarten,30 Bukit Batok West Avenue 3,659163,6252 1902,mk_princesselizabeth@moe.edu.sg,https://www.princesselizabethpri.moe.edu.sg/moe-kindergarten/mk-at-princess-elizabeth/,Bukit Batok,True,True,,
MOE Kindergarten @ Punggol,preschool,MOE Kindergarten,61 Hougang Avenue 8,538787,6214 0691,mk_punggol@moe.edu.sg,,Hougang,True,True,,
MOE Kindergarten @ Punggol Cove,preschool,MOE Kindergarten,52 Sumang Walk,828674,6282 2375,mk_punggolcove@moe.edu.sg,https://punggolcovepri.moe.edu.sg/mk-at-punggol-cove/mk-videos,Punggol,True,True,,
MOE Kindergarten @ Punggol Green,preschool,MOE Kindergarten,98 Punggol Walk,828772,6443 8335,mk_punggolgreen@moe.edu.sg,https://www.punggolgreenpri.moe.edu.sg/mk-punggol-green/,Punggol,True,True,,
MOE Kindergarten @ Punggol View,preschool,MOE Kindergarten,9 Punggol Place,828845,6570 1588,mk_punggolview@moe.edu.sg,https://www.punggolviewpri.moe.edu.sg/mk-at-punggol-view/mkatpv/,Punggol,True,True,,
MOE Kindergarten @ Riverside,preschool,MOE Kindergarten,110 Woodlands Crescent,737803,6362 7223,mk_riverside@moe.edu.sg,https://www.riversidepri.moe.edu.sg/mk-riverside/about-us/general-information/,Woodlands,True,True,,
MOE Kindergarten @ Rivervale,preschool,MOE Kindergarten,80 Rivervale Drive,545092,6388 7450,mk_rivervale@moe.edu.sg,,Sengkang,True,True,,
MOE Kindergarten @ Sembawang,preschool,MOE Kindergarten,10 Sembawang Drive,757715,6756 7330,mk_sembawang@moe.edu.sg,https://www.sembawangpri.moe.edu.sg/mk-sembawang/about-us/adayinmksembawang/,Sembawang,True,True,,
MOE Kindergarten @ Sengkang Green,preschool,MOE Kindergarten,15 Fernvale Road,797636,6241 6640,mk_sengkanggreen@moe.edu.sg,https://www.sengkanggreenpri.moe.edu.sg/our-skgian-family/moe-kindergarten/,Sengkang,True,True,,
MOE Kindergarten @ Shuqun,preschool,MOE Kindergarten,8 Jurong West Street 51,649332,6563 7129,mk_shuqun@moe.edu.sg,https://www.shuqunpri.moe.edu.sg/moe-kindergarten/permalink/,Jurong West,True,True,,
MOE Kindergarten @ South View,preschool,MOE Kindergarten,6 Choa Chu Kang Central,689762,6219 5128,mk_southview@moe.edu.sg,https://www.southviewpri.moe.edu.sg/welcome,Choa Chu Kang,True,True,,
MOE Kindergarten @ Springdale,preschool,MOE Kindergarten,71 Anchorvale Link,544799,6384 6707,mk_springdale@moe.edu.sg,https://www.springdalepri.moe.edu.sg/moe-kindergarten-at-springdale/learning-environment-mk-at-springdale/,Sengkang,True,True,,
MOE Kindergarten @ Tampines,preschool,MOE Kindergarten,250 Tampines Street 12,529426,6783 1190,mk_tpps@moe.edu.sg,https://www.tampinespri.moe.edu.sg/moe-kindergarten/about-us/about-us/,Tampines,True,True,,
MOE Kindergarten @ Tanjong Katong,preschool,MOE Kindergarten,10 Seraya Road,437259,6568 8277,mk_tanjongkatong@moe.edu.sg,https://www.tanjongkatongpri.moe.edu.sg/mk-tanjong-katong/permalink/learningenvironment/,Marine Parade,True,True,,
MOE Kindergarten @ Temasek,preschool,MOE Kindergarten,501 Bedok South Avenue 3,469300,6246 0261,mk_temasek@moe.edu.sg,https://www.temasekpri.moe.edu.sg/moe-kindergarten/about-us/our-vision-and-mission/,Bedok,True,True,,
MOE Kindergarten @ Valour,preschool,MOE Kindergarten,49 Punggol Central,828728,6242 6390,mk_valour@moe.edu.sg,https://www.valourpri.moe.edu.sg/moe-kindergarten/moe-kindergarten-at-valour/,Punggol,True,True,,
MOE Kindergarten @ Waterway,preschool,MOE Kindergarten,70 Punggol Drive,828802,6315 0082,mk_waterway@moe.edu.sg,https://www.waterwaypri.moe.edu.sg/moe-kindergarten-waterway,Punggol,True,True,,
MOE Kindergarten @ Wellington,preschool,MOE Kindergarten,10 Wellington Circle,757702,6753 3319,mk_wellington@moe.edu.sg,https://sites.google.com/moe.edu.sg/mkwl,Sembawang,True,True,,
MOE Kindergarten @ West Spring,preschool,MOE Kindergarten,60 Bukit Panjang Ring Road,679946,6314 4192,mk_westspring@moe.edu.sg,https://www.westspringpri.moe.edu.sg/mkws/,Bukit Panjang,True,True,,
MOE Kindergarten @ West View,preschool,MOE Kindergarten,31 Senja Road,677742,6760 0178,mk_westview@moe.edu.sg,https://westviewpri.moe.edu.sg/mk-at-west-view/about-us,Bukit Panjang,True,True,,
MOE Kindergarten @ Westwood,preschool,MOE Kindergarten,1 Jurong West Street 73,649188,6316 0211,mk_westwood@moe.edu.sg,https://www.westwoodpri.moe.edu.sg/mk-westwood/,Jurong West,True,True,,
MOE Kindergarten @ Yangzheng,preschool,MOE Kindergarten,15 Serangoon Avenue 3,556108,6242 0522,mk_yangzheng@moe.edu.sg,https://www.yangzhengpri.moe.edu.sg/mk-at-yangzheng/,Serangoon,True,True,,
MOE Kindergarten @ Yishun,preschool,MOE Kindergarten,500 Yishun Ring Road,768679,6311 9526,mk_yishun@moe.edu.sg,https://www.yishunpri.moe.edu.sg/mk-at-yps/mk-home/,Yishun,True,True,,
MOE Kindergarten @ Zhenghua,preschool,MOE Kindergarten,9 Fajar Road,679002,6219 5679,mk_zhenghua@moe.edu.sg,https://www.zhenghuapri.moe.edu.sg/mk-at-zhenghua/about-us/,Bukit Panjang,True,True,,
Admiralty Primary School,primary,Primary,Woodlands Circle,738907,63620598,admiralty_ps@moe.edu.sg,https://admiraltypri.moe.edu.sg/,,,,,
Ahmad Ibrahim Primary School,primary,Primary,Yishun Street 11,768643,67592906,aips@moe.edu.sg,http://www.ahmadibrahimpri.moe.edu.sg,,,,,
Ai Tong School,primary,Primary,Bright Hill Drive,579646,64547672,aitong_sch@moe.edu.sg,http://www.aitong.moe.edu.sg,,,,,
Alexandra Primary School,primary,Primary,Prince Charles Crescent,159016,62485400,alexandra_ps@moe.edu.sg,http://alexandrapri.moe.edu.sg,,,,,
Anchor Green Primary School,primary,Primary,Anchorvale Drive,544969,68861356,anchorgreen_ps@moe.edu.sg,http://www.anchorgreenpri.moe.edu.sg,,,,,
Anderson Primary School,primary,Primary,Ang Mo Kio Ave 9,569785,64560340,anderson_ps@moe.edu.sg,http://www.andersonpri.moe.edu.sg,,,,,
Anglo-Chinese School (Junior),primary,Primary,Winstedt Road,227988,67337911,acsj@moe.edu.sg,https://www.acsj.moe.edu.sg,,,,,
Anglo-Chinese School (Primary),primary,Primary,Barker Road,309918,62501633,acps@moe.edu.sg,http://www.acspri.moe.edu.sg/,,,,,
Ang Mo Kio Primary School,primary,Primary,Ang Mo Kio Avenue 3,569920,64520794,amkps@moe.edu.sg,http://www.angmokiopri.moe.edu.sg,,,,,
Angsana Primary School,primary,Primary,Tampines Street 61,528565,67830427,angsana_pri@moe.edu.sg,https://angsanapri.moe.edu.sg/,,,,,
Beacon Primary School,primary,Primary,Bukit Panjang Ring Road,679944,67697255,beaconprisch@moe.edu.sg,https://beaconpri.moe.edu.sg/,,,,,
Bedok Green Primary School,primary,Primary,Bedok South Ave 2,469317,64425416,bgps@moe.edu.sg,http://www.bedokgreenpri.moe.edu.sg,,,,,
Bendemeer Primary School,primary,Primary,Bendemeer Road,339948,62982911,bendemeer_ps@moe.edu.sg,http://www.bendemeerpri.moe.edu.sg/,,,,,
Blangah Rise Primary School,primary,Primary,Telok Blangah Heights,109100,62717387,brps@moe.edu.sg,http://www.blangahrisepri.moe.edu.sg/,,,,,
Boon Lay Garden Primary School,primary,Primary,Boon Lay Drive,649930,63160998,blgps@moe.edu.sg,https://www.boonlaygardenpri.moe.edu.sg,,,,,
Bukit Panjang Primary School,primary,Primary,Cashew Road,679676,67691912,bpps@moe.edu.sg,http://www.bukitpanjangpri.moe.edu.sg,,,,,
Bukit Timah Primary School,primary,Primary,Lorong Kismis,598112,64662863,bukittimahps@moe.edu.sg,http://www.bukittimahpri.moe.edu.sg,,,,,
Bukit View Primary School,primary,Primary,Bukit Batok Street 21,659634,65661980,bukitview_ps@moe.edu.sg,http://www.bukitviewpri.moe.edu.sg,,,,,
Canberra Primary School,primary,Primary,Admiralty Drive,757714,67597433,canberra_ps@moe.edu.sg,http://www.canberrapri.moe.edu.sg,,,,,
Canossa Catholic Primary School,primary,Primary,Sallim Road,387621,68441418,ccps@moe.edu.sg,https://canossacatholicpri.moe.edu.sg/,,,,,
Cantonment Primary School,primary,Primary,Cantonment Close,088256,65119555,cantonment_ps@moe.edu.sg,http://www.cantonmentpri.moe.edu.sg,,,,,
Casuarina Primary School,primary,Primary,Pasir Ris St 41,518935,65837132,casuarina_ps@moe.edu.sg,http://www.casuarinapri.moe.edu.sg/,,,,,
Catholic High School (Primary),primary,Primary,Bishan Street 22,579767,64582177 (Secondary),chs@moe.edu.sg,http://www.catholichigh.moe.edu.sg,,,,,
Cedar Primary School,primary,Primary,Cedar Avenue,349700,62885633,cedar_ps@moe.edu.sg,http://www.cedarpri.moe.edu.sg,,,,,
Changkat Primary School,primary,Primary,Simei St 3,529896,67830923,changkat_ps@moe.edu.sg,http://www.changkatpri.moe.edu.sg/,,,,,
CHIJ (Katong) Primary,primary,Primary,Martia Road,424821,63443072,chijktps@moe.edu.sg,http://chijkcp.moe.edu.sg/,,,,,
CHIJ (Kellock),primary,Primary,Bukit Teresa Road,099757,62730096,chijks@moe.edu.sg,http://www.chijkellock.moe.edu.sg/,,,,,
CHIJ Our Lady of Good Counsel,primary,Primary,Burghley Drive,558979,62886930,chijolgcs@moe.edu.sg,http://www.chijourladyofgoodcounsel.moe.edu.sg,,,,,
CHIJ Our Lady of the Nativity,primary,Primary,Upper Serangoon Road,534793,63852455,chijoln@moe.edu.sg,http://www.chijourladyofthenativity.moe.edu.sg/,,,,,
CHIJ Our Lady Queen of Peace,primary,Primary,Chestnut Drive,679287,67691529,chijolqp@moe.edu.sg,http://www.chijourladyqueenofpeace.moe.edu.sg/,,,,,
CHIJ Primary (Toa Payoh),primary,Primary,Lorong 1 Toa Payoh,319765,63532164,chijtpps@moe.edu.sg,http://www.chijpritoapayoh.moe.edu.sg,,,,,
CHIJ St. Nicholas Girls' School (Primary),primary,Primary,Ang Mo Kio Street 13,569405,63541839 (Secondary),chijsng_sec@moe.edu.sg,http://www.chijstnicholasgirls.moe.edu.sg,,,,,
Chongfu School,primary,Primary,Yishun Avenue 6,768959,67585527,cfs@moe.edu.sg,http://www.chongfu.moe.edu.sg/,,,,,
Chongzheng Primary School,primary,Primary,Tampines Street 21,529392,67819002,czps@moe.edu.sg,http://www.chongzhengpri.moe.edu.sg,,,,,
Chua Chu Kang Primary School,primary,Primary,Choa Chu Kang Avenue 2,689905,67661574,cckps@moe.edu.sg,http://www.chuachukangpri.moe.edu.sg,,,,,
Clementi Primary School,primary,Primary,Clementi Ave 3,129903,67797449,admin_clementi_ps@moe.edu.sg,http://www.clementipri.moe.edu.sg,,,,,
Compassvale Primary School,primary,Primary,Compassvale St,545091,63882819,cvps@moe.edu.sg,http://www.compassvalepri.moe.edu.sg/,,,,,
Concord Primary School,primary,Primary,Choa Chu Kang Ave 4,689814,67632139,concord_ps@moe.edu.sg,http://www.concordpri.moe.edu.sg/,,,,,
Corporation Primary School,primary,Primary,Jurong West Street 24,648347,67957381,cps@moe.edu.sg,http://www.corporationpri.moe.edu.sg,,,,,
Damai Primary School,primary,Primary,Bedok Reservoir Crescent,479226,64456483,damai_ps@moe.edu.sg,http://www.damaipri.moe.edu.sg,,,,,
Dazhong Primary School,primary,Primary,Bukit Batok Street 31,659441,65658002,dazhong_ps@moe.edu.sg,http://www.dazhongpri.moe.edu.sg,,,,,
De La Salle School,primary,Primary,Choa Chu Kang St 52,689285,67667675,dlss@moe.edu.sg,http://www.delasalle.moe.edu.sg,,,,,
East Spring Primary School,primary,Primary,Tampines St 33,529258,67866192,esps@moe.edu.sg,http://www.eastspringpri.moe.edu.sg,,,,,
Edgefield Primary School,primary,Primary,Edgefield Plains,828869,63126091,edgefield_ps@moe.edu.sg,http://www.edgefieldpri.moe.edu.sg,,,,,
Elias Park Primary School,primary,Primary,Pasir Ris Street 52,518866,65844393,epps@moe.edu.sg,http://www.eliasparkpri.moe.edu.sg,,,,,
Endeavour Primary School,primary,Primary,Admiralty Link,757521,64824650,endeavour_ps@moe.edu.sg,https://endeavourpri.moe.edu.sg/,,,,,
Evergreen Primary School,primary,Primary,Woodlands Circle,738908,63687705,evergreen_ps@moe.edu.sg,http://www.evergreenpri.moe.edu.sg/,,,,,
Fairfield Methodist School (Primary),primary,Primary,Dover Road,139648,67788431,fmsp@moe.edu.sg,http://www.fmsp.moe.edu.sg/,,,,,
Farrer Park Primary School,primary,Primary,Farrer Park Road,217567,62952272,fpps@moe.edu.sg,http://www.farrerparkpri.moe.edu.sg,,,,,
Fengshan Primary School,primary,Primary,Bedok North Road,469680,65860123,fsps@moe.edu.sg,http://www.fengshanpri.moe.edu.sg,,,,,
Fern Green Primary School,primary,Primary,Fernvale Link,797538,68343100,ferngreen_ps@moe.edu.sg,https://www.ferngreenpri.moe.edu.sg,,,,,
Fernvale Primary School,primary,Primary,Fernvale Lane,797701,63153051,fernvale_ps@moe.edu.sg,https://www.fernvalepri.moe.edu.sg,,,,,
First Toa Payoh Primary School,primary,Primary,Lorong 8 Toa Payoh,319252,62567822,ftpps@moe.edu.sg,http://www.firsttoapayohpri.moe.edu.sg,,,,,
Frontier Primary School,primary,Primary,Jurong West Street 61,648200,65789555,frontier_ps@moe.edu.sg,http://www.frontierpri.moe.edu.sg,,,,,
Fuchun Primary School,primary,Primary,Woodlands Avenue 1,739063,63683925,fcps@moe.edu.sg,http://www.fuchunpri.moe.edu.sg,,,,,
Fuhua Primary School,primary,Primary,Jurong East Street 13,609647,65624370,fhps@moe.edu.sg,http://www.fuhuapri.moe.edu.sg,,,,,
Gan Eng Seng Primary School,primary,Primary,Redhill Close,158901,64717451,gesps@moe.edu.sg,http://www.ganengsengpri.moe.edu.sg,,,,,
Geylang Methodist School (Primary),primary,Primary,Geylang East Central,389706,67486746,gmsp@moe.edu.sg,https://www.geylangmethodistpri.moe.edu.sg,,,,,
Gongshang Primary School,primary,Primary,Tampines Street 42,529176,67831191,gsps@moe.edu.sg,http://www.gongshangpri.moe.edu.sg,,,,,
Greendale Primary School,primary,Primary,Edgedale Plains,828848,68861413,greendale_ps@moe.edu.sg,http://www.greendalepri.moe.edu.sg,,,,,
Greenridge Primary School,primary,Primary,Jelapang Road,677744,67604265,grps@moe.edu.sg,http://www.greenridgepri.moe.edu.sg,,,,,
Greenwood Primary School,primary,Primary,Woodlands  Dr  62,737942,63666158,greenwood_ps@moe.edu.sg,http://www.greenwoodpri.moe.edu.sg,,,,,
Haig Girls' School,primary,Primary,Koon Seng Road,427072,63440293,haiggirlssch@moe.edu.sg,http://www.haiggirls.moe.edu.sg,,,,,
Henry Park Primary School,primary,Primary,Holland Grove Road,278790,64663600,hpps@moe.edu.sg,http://www.henryparkpri.moe.edu.sg,,,,,
Holy Innocents' Primary School,primary,Primary,Lorong Low Koon,536451,62886516,holyinnocentspri@moe.edu.sg,http://www.holyinnocentspri.moe.edu.sg/,,,,,
Hong Wen School,primary,Primary,Towner Road,327829,62943340,hws@moe.edu.sg,http://www.hongwen.moe.edu.sg,,,,,
Horizon Primary School,primary,Primary,Edgedale Plains,828819,67535411,horizon_ps@moe.edu.sg,http://www.horizonpri.moe.edu.sg,,,,,
Hougang Primary School,primary,Primary,Hougang St 93,534238,64897445,hougang_ps@moe.edu.sg,http://www.hougangpri.moe.edu.sg/,,,,,
Huamin Primary School,primary,Primary,Yishun Avenue 11,768857,67529004,huamin_ps@moe.edu.sg,http://www.huaminpri.moe.edu.sg,,,,,
Innova Primary School,primary,Primary,Woodlands Drive 17,737888,68944693,innova_pri@moe.edu.sg,http://www.innovapri.moe.edu.sg/,,,,,
Jiemin Primary School,primary,Primary,Yishun Street 71,768515,67586472,jiemin_ps@moe.edu.sg,http://www.jieminpri.moe.edu.sg,,,,,
Jing Shan Primary School,primary,Primary,Ang Mo Kio St 52,569228,64566305,jsps@moe.edu.sg,http://www.jingshanpri.moe.edu.sg,,,,,
Junyuan Primary School,primary,Primary,Tampines Street 91,528906,67830375,junyuan_ps@moe.edu.sg,https://junyuanpri.moe.edu.sg,,,,,
Jurong Primary School,primary,Primary,Jurong East Street 32,609476,65618837,jps@moe.edu.sg,http://www.jurongpri.moe.edu.sg,,,,,
Jurong West Primary School,primary,Primary,Jurong West St 61,648368,67933419,jwps@moe.edu.sg,http://www.jurongwestpri.moe.edu.sg,,,,,
Keming Primary School,primary,Primary,Bukit Batok East Avenue 6,659762,68962054,kmps@moe.edu.sg,http://www.kemingpri.moe.edu.sg,,,,,
Kheng Cheng School,primary,Primary,Lorong 3 Toa Payoh,319580,62552502,kcs@moe.edu.sg,http://www.khengcheng.moe.edu.sg/,,,,,
Kong Hwa School,primary,Primary,Guillemard Road,399772,63421195,konghwa_sch@moe.edu.sg,http://www.konghwa.moe.edu.sg,,,,,
Kranji Primary School,primary,Primary,Choa Chu Kang Street 54,689189,67634812,kranji_ps@moe.edu.sg,http://kranjipri.moe.edu.sg,,,,,
Kuo Chuan Presbyterian Primary School,primary,Primary,Bishan Street 13,579793,62595396,kcpps@moe.edu.sg,http://www.kuochuanpresbyterianpri.moe.edu.sg,,,,,
Lakeside Primary School,primary,Primary,Corporation Walk,618310,62620918,lakeside_ps@moe.edu.sg,http://www.lakesidepri.moe.edu.sg/,,,,,
Lianhua Primary School,primary,Primary,Bukit Batok Street 52,659243,65639502,lianhua_ps@moe.edu.sg,http://www.lianhuapri.moe.edu.sg/,,,,,
Maha Bodhi School,primary,Primary,Ubi Avenue 1,408931,67442115,mbs@moe.edu.sg,http://www.mahabodhi.moe.edu.sg/,,,,,
Maris Stella High School (Primary),primary,Primary,Mount Vernon Road,368051,62803880 (Sec),msh@moe.edu.sg,http://www.marisstellahigh.moe.edu.sg,,,,,
Marsiling Primary School,primary,Primary,Woodlands Centre Road,738927,62696193,marsiling_ps@moe.edu.sg,http://www.marsilingpri.moe.edu.sg,,,,,
Marymount Convent School,primary,Primary,Marymount Road,297754,6256 6701,mmcs@moe.edu.sg,http://www.marymountconvent.moe.edu.sg,,,,,
Mayflower Primary School,primary,Primary,Ang Mo Kio Avenue 5,569878,64520849,mayflower_ps@moe.edu.sg,http://www.mayflowerpri.moe.edu.sg,,,,,
Mee Toh School,primary,Primary,Edgedale Plains,828867,64893326,meetoh_sch@moe.edu.sg,http://www.meetoh.moe.edu.sg/,,,,,
Meridian Primary School,primary,Primary,Pasir Ris St 71,518798,65832125,meridian_ps@moe.edu.sg,http://www.meridianpri.moe.edu.sg/,,,,,
Methodist Girls' School (Primary),primary,Primary,Blackmore Drive,599986,64694800,mgps@moe.edu.sg,https://www.mgs.moe.edu.sg/,,,,,
Montfort Junior School,primary,Primary,Hougang Avenue 8,538786,65101588,montfort_js@moe.edu.sg,http://www.montfortjunior.moe.edu.sg/,,,,,
Nan Chiau Primary School,primary,Primary,Anchorvale Link,545080,64897905,ncps@moe.edu.sg,http://www.ncps.moe.edu.sg,,,,,
Nan Hua Primary School,primary,Primary,Jalan Lempeng,128806,67788050,nhps@moe.edu.sg,http://www.nanhuapri.moe.edu.sg,,,,,
